temperature,density,heat_capacity,viscosity,thermal_conductivity
550,1.0054000e+04,1.452092e+02,1.840152e-03,1.256500e+01
600,9.9930000e+03,1.417132e+02,1.635039e-03,1.304000e+01
650,9.9320000e+03,1.390583e+02,1.479444e-03,1.351500e+01
700,9.8710000e+03,1.370130e+02,1.357917e-03,1.399000e+01
750,9.8100000e+03,1.354203e+02,1.260699e-03,1.446500e+01
800,9.7490000e+03,1.341706e+02,1.181360e-03,1.494000e+01
850,9.6880000e+03,1.331858e+02,1.115512e-03,1.541500e+01
900,9.6270000e+03,1.324085e+02,1.060068e-03,1.589000e+01
950,9.5660000e+03,1.317963e+02,1.012800e-03,1.636500e+01
1000,9.5050000e+03,1.313170e+02,9.720640e-04,
1050,9.4440000e+03,1.309459e+02,9.366211e-04,
1100,9.3830000e+03,1.306638e+02,9.055229e-04,
1150,9.3220000e+03,1.304555e+02,8.780316e-04,
1200,9.2610000e+03,1.303090e+02,8.535650e-04,
1250,9.2000000e+03,1.302146e+02,8.316583e-04,
1300,9.1390000e+03,1.301645e+02,,
1350,9.0780000e+03,1.301522e+02,,
1400,9.0170000e+03,1.301724e+02,,
1450,8.9560000e+03,1.302207e+02,,
1500,8.8950000e+03,1.302934e+02,,
1550,8.8340000e+03,1.303875e+02,,
1600,8.7730000e+03,1.305003e+02,,
1650,8.7120000e+03,1.306295e+02,,
1700,8.6510000e+03,1.307733e+02,,
1750,8.5900000e+03,1.309300e+02,,
1800,8.5290000e+03,1.310982e+02,,
