lead,lbe,bismuth,sodium,nak
1.867147200000000055e-34,-4.211911200000000039e-37,-2.594452300000000043e-33,-2.351859500000000067e-36,2.843188699999999860e-43
-3.077961900000000058e-30,6.722473500000000275e-33,3.939626799999999953e-29,3.865203299999999760e-32,  -3.298769500000000159e-39
2.315238299999999891e-26,-4.901285400000000240e-29,-2.729308099999999903e-25,-2.896413400000000127e-28,1.741316099999999884e-35
-1.051774299999999977e-22,2.161944700000000150e-25,1.141775500000000028e-21, 1.310436499999999995e-24, -5.533222100000000383e-32
3.218323099999999921e-19,-6.440398899999999568e-22,-3.216778999999999945e-18,-3.995107899999999921e-21,1.179993500000000006e-28
-7.002020800000000381e-16,1.369584699999999935e-18,6.442826199999999710e-15, 8.673126400000000226e-18, -1.782046400000000078e-25
1.114006500000000015e-12,-2.142334599999999808e-15,-9.434655999999999416e-12,-1.381239100000000021e-14,1.959291500000000049e-22
-1.311830900000000088e-09,2.502096700000000126e-12,1.022401599999999957e-08, 1.637558500000000004e-11, -1.586653899999999992e-19
1.143054400000000087e-06,-2.190910900000000117e-09,-8.196571299999999238e-06,-1.450893600000000053e-08,9.456674699999999787e-17
-7.225466299999999936e-04,1.430293999999999930e-06,4.800080299999999640e-03, 9.551091800000000663e-06, -4.094033199999999726e-14
3.043094199999999971e-01,-6.806720500000000215e-04,-1.992482800000000109e+00,-4.445932900000000403e-03,1.144300100000000012e-04
7.625218399999999974e+01,2.133839399999999942e-01,6.757331000000000358e+02,  1.140889199999999937e+00, -1.846500000000000086e-01
-8.230204499999999825e+04,1.115176500000000033e+02,-1.458915100000000093e+05,1.301678599999999960e+03, 9.713375999999999522e+02
,-5.655772200000000157e+04,,-3.171556300000000047e+05,-1.713616799999999947e-05
