lead,lbe,bismuth,sodium,nak
-1.438693300000000040e-62,2.696510799999999878e-67,-1.301333699999999977e-61,-1.162420700000000074e-80,-8.552541000000000338e-78
1.861028000000000095e-56,-4.017166300000000322e-61,1.485650199999999935e-55,2.196143700000000083e-73,8.587570899999999511e-71
-1.086431499999999884e-50,2.701534399999999976e-55,-7.587042000000000428e-50,-1.746905700000000086e-66,-3.740673999999999945e-64
3.807899599999999772e-45,-1.086409200000000016e-49,2.278066599999999816e-44,7.412132599999999753e-60,9.122974999999999559e-58
-9.039243000000000129e-40,2.920949699999999771e-44,-4.408999500000000298e-39,-1.673498099999999885e-53,-1.331790699999999941e-51
1.562022800000000041e-34,-5.573820599999999898e-39,5.514390399999999880e-34,1.214323800000000035e-47,1.138261999999999976e-45
-2.061312900000000133e-29,7.852153400000000839e-34,-3.648841800000000054e-29,3.464933199999999966e-41,-5.034760799999999816e-40
2.219809799999999922e-24,-8.430512299999999537e-29,-1.457201199999999937e-24,-1.109426100000000062e-34,7.330478299999999565e-35
-2.378848299999999962e-19,7.151865599999999364e-24,7.876342699999999559e-19,1.607514699999999996e-28,7.315857399999999846e-29
1.549468800000000050e-14,-5.265424699999999575e-19,-1.291779499999999888e-13,-1.719745299999999900e-22,-1.675155099999999989e-22
2.564797200000000011e-09,2.972270599999999732e-14,1.343491100000000061e-08,1.070987399999999975e-16,-2.016833200000000054e-17
6.757780799999999963e-03,2.307744399999999887e-09,6.865747299999999838e-03,4.201333699999999946e-11,1.951421100000000008e-10
6.006000000000000227e+02,6.746687900000000217e-03,5.446000099999999975e+02,6.966982299999999921e-04,1.030269699999999912e-03
,3.980000299999999811e+02,,2.245006199999999978e+02,-3.968178199999999878e-02
