sodium,nak,bismuth,lbe,lead
9.025305530000000483e-19,-5.87623281e-17,-1.217962499999999919e-15,6.872227879999999590e-20,1.021283929999999984e-16
-5.595128740000000092e-15,3.14134117e-13,6.616293780000000357e-11,-4.508535339999999746e-15,-5.834724329999999917e-12
1.536273430000000078e-11,-7.45137530e-10,-1.497800350000000084e-06,1.267243220000000034e-10,1.389220650000000023e-07
-2.451846210000000163e-08,1.01729917e-06,1.808548889999999840e-02,-1.978164169999999800e-06,-1.766741019999999978e-03
2.506940190000000145e-05,-8.71283455e-04,-1.228390019999999936e+02,1.851868279999999839e-02,1.267320139999999995e+01
-1.705156999999999853e-02,4.71863194e-01,4.448489820000000182e+05,-1.039468410000000063e+02,-4.877954770000000281e+04
7.737354550000000053e+00,-1.48247628e+02,-6.703992140000000000e+08,3.237293929999999818e+05,7.941506790000000596e+07
-2.268310739999999896e+03,1.56141120e+04,,-4.307092480000000000e+08,
3.866179160000000265e+05,4.18912970e+06,,,
-2.545951050000000000e+07,,,,
