temperature,density,heat_capacity,viscosity,thermal_conductivity
400,1.0547800e+04,1.481900e+02,3.254473e-03,9.383200e+00
450,1.0483150e+04,1.473494e+02,2.639417e-03,1.009374e+01
500,1.0418500e+04,1.464010e+02,2.232183e-03,1.079275e+01
550,1.0353850e+04,1.454038e+02,1.946185e-03,1.148024e+01
600,1.0289200e+04,1.443933e+02,1.736052e-03,1.215620e+01
650,1.0224550e+04,1.433920e+02,1.576069e-03,1.282064e+01
700,1.0159900e+04,1.424144e+02,1.450729e-03,1.347355e+01
750,1.0095250e+04,1.414706e+02,1.350192e-03,1.411494e+01
800,1.0030600e+04,1.405675e+02,1.267955e-03,1.474480e+01
850,9.9659500e+03,1.397101e+02,1.199562e-03,1.536314e+01
900,9.9013000e+03,1.389020e+02,1.141872e-03,1.596995e+01
950,9.8366500e+03,1.381460e+02,1.092610e-03,1.656524e+01
1000,9.7720000e+03,1.374440e+02,1.050095e-03,1.714900e+01
1050,9.7073500e+03,1.367976e+02,1.013055e-03,1.772124e+01
1100,9.6427000e+03,1.362081e+02,9.805180e-04,1.828195e+01
1150,9.5780500e+03,1.356764e+02,9.517236e-04,1.883114e+01
1200,9.5134000e+03,1.352033e+02,9.260722e-04,
1250,9.4487500e+03,1.347894e+02,9.030840e-04,
1300,9.3841000e+03,1.344352e+02,,
1350,9.3194500e+03,1.341410e+02,,
1400,9.2548000e+03,1.339073e+02,,
1450,9.1901500e+03,1.337344e+02,,
1500,9.1255000e+03,1.336223e+02,,
1550,9.0608500e+03,1.335714e+02,,
1600,8.9962000e+03,1.335819e+02,,
1650,8.9315500e+03,1.336538e+02,,
1700,8.8669000e+03,1.337872e+02,,
1750,8.8022500e+03,1.339824e+02,,
1800,8.7376000e+03,1.342393e+02,,
1850,8.6729500e+03,1.345580e+02,,
1900,8.6083000e+03,1.349387e+02,,
