temperature,density,heat_capacity,viscosity,thermal_conductivity
601,1.0672021e+04,1.479705e+02,2.694585e-03,1.581100e+01
650,1.0609325e+04,1.471168e+02,2.356453e-03,1.635000e+01
700,1.0545350e+04,1.461944e+02,2.095275e-03,1.690000e+01
750,1.0481375e+04,1.452532e+02,1.892456e-03,1.745000e+01
800,1.0417400e+04,1.443163e+02,1.731161e-03,1.800000e+01
850,1.0353425e+04,1.434006e+02,1.600297e-03,1.855000e+01
900,1.0289450e+04,1.425179e+02,1.492302e-03,1.910000e+01
950,1.0225475e+04,1.416775e+02,1.401868e-03,1.965000e+01
1000,1.0161500e+04,1.408860e+02,1.325172e-03,2.020000e+01
1050,1.0097525e+04,1.401488e+02,1.259402e-03,2.075000e+01
1100,1.0033550e+04,1.394699e+02,1.202449e-03,2.130000e+01
1150,9.9695750e+03,1.388525e+02,1.152700e-03,2.185000e+01
1200,9.9056000e+03,1.382993e+02,1.108908e-03,2.240000e+01
1250,9.8416250e+03,1.378121e+02,1.070089e-03,2.295000e+01
1300,9.7776500e+03,1.373928e+02,1.035464e-03,
1350,9.7136750e+03,1.370427e+02,1.004404e-03,
1400,9.6497000e+03,1.367628e+02,9.763966e-04,
1450,9.5857250e+03,1.365542e+02,9.510235e-04,
1500,9.5217500e+03,1.364177e+02,,
1550,9.4577750e+03,1.363538e+02,,
1600,9.3938000e+03,1.363631e+02,,
1650,9.3298250e+03,1.364461e+02,,
1700,9.2658500e+03,1.366033e+02,,
1750,9.2018750e+03,1.368349e+02,,
1800,9.1379000e+03,1.371412e+02,,
1850,9.0739250e+03,1.375226e+02,,
1900,9.0099500e+03,1.379792e+02,,
1950,8.9459750e+03,1.385113e+02,,
2000,8.8820000e+03,,,
